Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
SC0,30/07/2005,Dundee United,Aberdeen,D,2.5,3.2,2.5,2.45,3.1,2.65,2.5,3.0,2.5,2.4,3.25,2.5,2.62,3.1,2.37,2005/6,€9.25m,€6.45m,2.6,3.2,2.4
SC0,30/07/2005,Falkirk,Inverness C,A,2.37,3.2,2.62,2.4,3.1,2.7,2.2,3.1,2.8,2.38,3.2,2.6,2.37,3.1,2.62,2005/6,€8.08m,€8.05m,2.4,3.2,2.6
SC0,30/07/2005,Hibernian,Dunfermline,D,1.61,3.4,5.0,1.5,3.5,6.25,1.6,3.4,4.6,1.62,3.5,4.5,1.61,3.5,4.5,2005/6,€17.43m,€8.43m,1.6,3.4,5.0
SC0,30/07/2005,Kilmarnock,Hearts,A,2.62,3.2,2.37,2.3,3.1,2.8,2.5,3.0,2.5,2.38,3.2,2.6,2.62,3.1,2.37,2005/6,€6.33m,€30.53m,2.5,3.2,2.5
SC0,30/07/2005,Motherwell,Celtic,D,7.5,4.0,1.44,9.0,5.0,1.25,7.5,4.0,1.33,8.0,4.33,1.3,8.0,4.33,1.3,2005/6,€9.18m,€72.83m,8.0,4.5,1.3
SC0,31/07/2005,Rangers,Livingston,H,1.14,6.5,21.0,1.08,9.0,13.0,1.12,6.5,13.0,1.1,6.5,17.0,1.12,6.0,15.0,2005/6,€77.98m,€10.08m,1.14,6.0,13.0
SC0,06/08/2005,Aberdeen,Kilmarnock,A,1.66,3.6,4.33,1.65,3.5,4.5,1.65,3.3,4.4,1.67,3.4,4.33,1.66,3.3,4.5,2005/6,€6.45m,€6.33m,1.65,3.4,4.5
SC0,06/08/2005,Celtic,Dundee United,H,1.22,5.5,9.5,1.25,5.0,9.0,1.22,4.8,9.5,1.29,4.5,8.0,1.2,5.5,9.0,2005/6,€72.83m,€9.25m,1.22,5.5,8.5
SC0,06/08/2005,Inverness C,Rangers,A,8.0,5.5,1.25,10.5,5.5,1.2,9.0,4.5,1.25,10.0,4.5,1.25,10.0,4.5,1.25,2005/6,€8.05m,€77.98m,8.5,5.0,1.25
SC0,06/08/2005,Livingston,Falkirk,A,2.0,3.4,3.25,1.9,3.2,3.65,2.0,3.1,3.2,1.91,3.25,3.4,2.0,3.2,3.2,2005/6,€10.08m,€8.08m,1.9,3.25,3.5
SC0,06/08/2005,Motherwell,Dunfermline,H,1.8,3.3,4.0,1.7,3.3,4.5,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.3,3.75,2005/6,€9.18m,€8.43m,1.8,3.25,4.0
SC0,07/08/2005,Hearts,Hibernian,H,2.2,3.2,3.25,2.2,3.2,2.9,2.2,3.0,2.9,2.2,3.2,2.8,2.1,3.1,3.1,2005/6,€30.53m,€17.43m,2.1,3.1,3.2
SC0,13/08/2005,Celtic,Falkirk,H,1.11,7.0,13.0,1.12,6.5,15.0,1.15,6.0,12.0,1.12,6.5,12.0,1.12,6.5,12.0,2005/6,€72.83m,€8.08m,1.1,7.5,17.0
SC0,13/08/2005,Dunfermline,Inverness C,A,2.3,3.2,2.7,2.1,3.25,3.05,2.3,3.0,2.7,2.2,3.25,2.75,2.2,3.2,2.8,2005/6,€8.43m,€8.05m,2.25,3.25,2.75
SC0,13/08/2005,Hibernian,Livingston,H,1.57,3.4,5.5,1.65,3.5,4.5,1.65,3.3,4.4,1.67,3.4,4.33,1.57,3.5,5.0,2005/6,€17.43m,€10.08m,1.65,3.4,4.5
