Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
B1,05/08/2005,Club Brugge,Mouscron,H,1.25,4.5,10.0,1.25,5.0,9.0,1.35,4.0,7.0,1.25,4.5,10.0,1.2,5.0,11.0,2005/6,€50.60m,€14.65m,1.22,5.0,9.0,1.2533333333333334,0.04714045207910321,2.5839558210847664,0.03761206282907171,0.01861702127659562,0.16688438837052164,4.666666666666667,0.37267799624996495,2.5802746921900592,0.07985957062499248,0.04166666666666666,0.16786089263018295,9.333333333333334,1.247219128924647,2.5715969902161335,0.13363062095621217,0.07142857142857131,0.17048670393604679,H
B1,06/08/2005,Anderlecht,Louvieroise,H,1.25,4.5,10.0,1.25,5.0,9.0,1.25,4.5,9.0,1.2,5.0,11.0,1.22,5.0,9.5,2005/6,€71.95m,€11.80m,1.22,5.0,9.0,1.2316666666666667,0.019507833184532725,2.584781178521457,0.015838565508416284,0.008344609833107614,0.1667089847534028,4.833333333333333,0.23570226039551584,2.5832262740679846,0.048765984909417075,0.022988505747126325,0.16709183673469388,9.583333333333334,0.7312470322826768,2.580858482761064,0.07630403815123583,0.03913043478260861,0.16751359704925667,H
B1,06/08/2005,Beveren,FC Brussels,A,2.0,3.2,3.2,2.1,3.25,3.05,2.1,3.0,3.1,2.25,3.2,2.75,2.05,3.2,3.1,2005/6,€16.75m,€14.25m,2.1,3.4,2.8,2.1,0.07637626158259735,2.584017460841999,0.0363696483726654,0.018518518518518517,0.16687527885929948,3.2083333333333335,0.11696390706348496,2.5840008257423057,0.03645628272108622,0.018614718614718445,0.16689312055975114,3.0,0.16583123951777007,2.582736485334145,0.05527707983925669,0.02962962962962959,0.16720666954962282,H
B1,06/08/2005,Gent,Waregem,A,1.44,3.75,6.5,1.4,4.0,6.75,1.55,3.5,4.8,1.5,3.6,5.5,1.4,3.75,7.0,2005/6,€22.35m,€10.88m,1.45,3.6,6.5,1.4566666666666668,0.05374838498865704,2.5839867814041018,0.03689820479770506,0.020213577421815204,0.16688501149695095,3.7000000000000006,0.16072751268321592,2.5836139236491786,0.04343986829276105,0.023273273273273137,0.1669647027153062,6.175,0.771227376761657,2.5732874544131223,0.12489512174277846,0.06635177687809249,0.16992238601708137,H
B1,06/08/2005,Lokeren,Genk,D,2.75,3.2,2.25,2.9,3.2,2.2,2.9,3.0,2.2,2.5,3.25,2.4,2.62,3.3,2.25,2005/6,€23.40m,€35.15m,2.6,3.4,2.25,2.7116666666666664,0.1517032922809814,2.5827066189683485,0.0559446683273441,0.031038721573448363,0.16718584922414084,3.2249999999999996,0.1216209959943868,2.583929216955672,0.03771193674244552,0.020241171403962005,0.16691481241688233,2.2583333333333333,0.06718548123582117,2.5843322499176953,0.02975002859150753,0.014145141451414794,0.16680329975676608,A
B1,06/08/2005,St Truiden,Roeselare,H,1.5,3.6,5.5,1.45,3.8,6.25,1.55,3.5,4.8,1.5,3.6,5.5,1.53,3.5,5.5,2005/6,€13.90m,€9.28m,1.55,3.5,5.0,1.5133333333333334,0.034960294939005085,2.584575656048713,0.023101516479518778,0.012481644640234851,0.1667582871474045,3.5833333333333335,0.10671873729054743,2.5843297686874873,0.02978197319736207,0.014728682170542712,0.16680504349364672,5.425,0.45984598871071314,2.579825929643974,0.08476423755036187,0.044802867383512496,0.16781329958226365,H
B1,06/08/2005,Westerlo,Cercle Brugge,H,1.9,3.25,3.4,1.95,3.25,3.45,1.85,3.1,3.6,1.8,3.25,3.75,1.83,3.4,3.5,2005/6,€17.55m,€12.00m,1.8,3.4,3.6,1.8550000000000002,0.05439056290693568,2.584345934804462,0.029321058170854813,0.016022761305780092,0.16680507997226562,3.275,0.10307764064044146,2.584245957234227,0.03147408874517297,0.016539440203562267,0.1668347079191407,3.5500000000000003,0.11547005383792516,2.5842024044893397,0.032526775728993,0.017996870109546453,0.1668389250843839,H
B1,07/08/2005,Charleroi,Germinal,H,1.83,3.2,3.75,1.8,3.4,3.8,1.9,3.1,3.5,1.8,3.25,3.75,1.8,3.4,3.6,2005/6,€15.10m,€23.18m,1.65,3.6,4.0,1.7966666666666669,0.074535599249993,2.58370595871035,0.041485491233762335,0.020717377860235114,0.16697616794808076,3.3249999999999997,0.16266017746619274,2.5832433682906952,0.048920354125170755,0.02715121136173751,0.1670565159981051,3.733333333333333,0.15723301886761004,2.5836853830462703,0.04211598719668126,0.02306547619047597,0.16695977364199688,H
B1,12/08/2005,Louvieroise,Gent,D,2.3,3.25,2.62,2.3,3.2,2.75,2.3,3.0,2.7,2.38,3.2,2.6,2.4,3.4,2.4,2005/6,€11.80m,€22.35m,2.4,3.4,2.4,2.346666666666667,0.04714045207910321,2.584671498814145,0.020088260829163297,0.01041666666666688,0.1667337755929176,3.2416666666666667,0.13667682889047267,2.583671871995429,0.04216251790965738,0.022707797772065025,0.16697533191921923,2.578333333333333,0.13545191848852584,2.582959936394524,0.052534680732459926,0.028765352294764096,0.16714300355788622,H
B1,13/08/2005,FC Brussels,Club Brugge,D,5.0,3.6,1.53,5.5,3.5,1.55,4.8,3.5,1.55,5.5,3.6,1.5,5.75,3.5,1.5,2005/6,€14.25m,€50.60m,5.5,3.6,1.5,5.341666666666666,0.32966734074754145,2.5821804212389527,0.0617161948357332,0.03250130005200194,0.1673511913931135,3.5500000000000003,0.05000000000000004,2.584819399873767,0.01408450704225353,0.00704225352112689,0.1666997288897706,1.5216666666666665,0.022669117514559092,2.5848025765010507,0.014897558059951212,0.00784958013873674,0.16670341660325214,A
