Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
P1,19/08/2005,Sp Lisbon,Belenenses,H,1.36,4.2,9.0,1.35,4.25,7.25,1.45,3.8,5.4,1.4,3.75,7.0,1.4,3.75,7.0,2005/6,€102.40m,€21.85m,1.33,4.0,8.5,1.3816666666666666,0.03975620147292181,2.5843674003855903,0.028774090330220853,0.01588258946521917,0.16680180524538626,3.9583333333333335,0.20699570580623708,2.582999628961039,0.05229365199315463,0.02842105263157904,0.1671085639828714,7.358333333333333,1.1620444149094395,2.5666275783696877,0.1579222307917698,0.08588146470366156,0.1715067175958936
P1,20/08/2005,Academica,Benfica,D,5.0,3.3,1.72,4.3,3.45,1.7,4.0,3.2,1.75,4.33,3.25,1.7,4.33,3.2,1.72,2005/6,€13.25m,€121.05m,4.0,3.4,1.75,4.326666666666667,0.33354992962906704,2.580779859282792,0.07709166324246541,0.03864920390344109,0.1675273151662689,3.2999999999999994,0.09574271077563379,2.584357679556316,0.029012942659282972,0.01599326599326592,0.16680369024639577,1.7233333333333334,0.020548046676563275,2.5848600418375116,0.011923431340365536,0.006447453255964103,0.16669023132222502
P1,20/08/2005,Boavista,Setubal,D,1.57,3.5,5.0,1.6,3.5,5.0,1.65,3.3,4.4,1.61,3.25,5.0,1.66,3.3,4.5,2005/6,€16.55m,€11.67m,1.6,3.25,5.0,1.615,0.030956959368344448,2.5846977715445507,0.01916839589371173,0.010491916064671397,0.16672748257692102,3.35,0.10801234497346436,2.584217209036366,0.03224249103685503,0.01658374792703135,0.16683354344720697,4.816666666666666,0.26087459737497537,2.5828162758923003,0.05416081606400873,0.025951557093425365,0.16719787160764593
P1,21/08/2005,Gil Vicente,Maritimo,H,2.1,3.2,3.0,2.1,3.25,3.05,2.1,3.0,3.1,2.1,3.2,3.0,2.05,3.2,3.1,2005/6,€11.90m,€13.55m,2.1,3.2,3.0,2.0916666666666663,0.01863389981249835,2.584904944497063,0.00890863736055698,0.0033200531208498474,0.1666803258535626,3.1750000000000003,0.080363756341608,2.5844940547285957,0.025311419320191493,0.010936132983377173,0.1667825337546682,3.0416666666666665,0.044876373392787564,2.5848057296883606,0.014753876183930158,0.007762557077625548,0.16670259724825623
P1,21/08/2005,Guimaraes,Naval,A,1.53,3.4,5.5,1.5,3.65,5.8,1.55,3.5,4.8,1.5,3.4,6.0,1.44,3.75,6.0,2005/6,€24.55m,€5.30m,1.55,3.5,5.0,1.5116666666666667,0.03804237403504446,2.58450260720609,0.025165848314252122,0.01341418596104385,0.16677658643237522,3.533333333333333,0.12801909579781015,2.5840214843561857,0.03623181956541797,0.01965408805031435,0.1668774310984449,5.516666666666667,0.4705198071164369,2.5796434099563736,0.08529059947729974,0.04682779456193367,0.1679797973505677
P1,21/08/2005,Pacos Ferreira,Nacional,A,2.2,3.0,3.0,2.35,3.15,2.7,2.2,3.0,2.9,2.1,3.2,3.0,2.05,3.2,3.1,2005/6,€7.50m,€15.75m,2.0,3.0,3.5,2.15,0.11547005383792522,2.5828949057702504,0.0537070017850815,0.029715762273901852,0.16713067494148434,3.091666666666667,0.09316949906249129,2.5843078769172236,0.03013568702829907,0.01572327044025182,0.16681725844366008,3.0333333333333337,0.2426703296426839,2.580421901909184,0.08000120757451117,0.04212454212454189,0.1676439890193243
P1,21/08/2005,Penafiel,Rio Ave,A,2.0,3.1,3.3,2.05,3.25,3.15,2.2,2.9,3.0,2.1,3.2,3.0,2.05,3.2,3.1,2005/6,€9.55m,€10.38m,2.0,3.0,3.4,2.066666666666667,0.06871842709362776,2.5841727823771135,0.0332508518194973,0.017473118279569683,0.16684052992794024,3.108333333333334,0.12388390622765429,2.5838081941299134,0.03985541219120244,0.021894548704200073,0.16694347286796146,3.158333333333333,0.14837078178970706,2.5833807849252226,0.04697755623948509,0.025945470536499343,0.16702065560563453
P1,21/08/2005,Porto,Est Amadora,H,1.16,5.5,11.0,1.1,7.0,17.0,1.22,4.8,9.5,1.14,6.0,12.0,1.14,6.0,12.0,2005/6,€116.00m,€9.70m,1.2,5.5,9.0,1.16,0.03999999999999998,2.584105688653662,0.03448275862068964,0.01915708812260522,0.16686375833708217,5.8,0.6708203932499369,2.5754019694651133,0.11565868849136844,0.06226053639846732,0.1688289535441257,11.75,2.6100766272276377,2.5514045082247696,0.22213418104065003,0.11465721040189117,0.17276721743611198
P1,26/08/2005,Naval,Porto,A,5.5,3.5,1.53,6.0,3.6,1.5,4.6,3.4,1.6,5.5,3.4,1.53,5.5,3.5,1.53,2005/6,€5.30m,€116.00m,5.5,3.6,1.5,5.433333333333334,0.41499665326629126,2.5806409680637192,0.07637975213490023,0.03578732106339491,0.16782087225827122,3.5,0.08164965809277268,2.58456987721366,0.023328473740792194,0.012698412698413014,0.16675744369132772,1.5316666666666665,0.033374973990834673,2.584622768234988,0.021789972137650496,0.01070003627130936,0.16674208643274674
P1,27/08/2005,Belenenses,Leiria,H,1.72,3.3,4.33,1.85,3.25,3.75,1.7,3.2,4.2,1.72,3.2,4.33,1.6,3.4,4.8,2005/6,€21.85m,€17.95m,1.75,3.2,4.35,1.7233333333333336,0.07363574011458175,2.583645668855472,0.042728669312136404,0.02256608639587357,0.16697215287616332,3.258333333333333,0.07312470322826756,2.584601797487581,0.022442364162128154,0.011508951406649676,0.1667470750362816,4.293333333333333,0.30728199137310697,2.581242540477149,0.0715718924005684,0.03687888198757752,0.16756758086669052
P1,27/08/2005,Benfica,Gil Vicente,A,1.25,5.0,8.5,1.28,4.65,8.5,1.3,4.2,8.0,1.25,4.6,9.0,1.3,4.33,8.0,2005/6,€121.05m,€11.90m,1.25,5.0,8.0,1.2716666666666667,0.022669117514559092,2.584733561204543,0.017826304729666387,0.00939274792485803,0.16671922088449037,4.63,0.30276503540974914,2.581872320705367,0.06539201628720284,0.03635709143268531,0.16738775064181843,8.333333333333334,0.3726779962499649,2.583532323489993,0.04472135954999579,0.023333333333333345,0.16698324588393576
P1,28/08/2005,Maritimo,Sp Lisbon,A,3.1,3.2,2.1,2.8,3.1,2.3,3.1,3.0,2.1,3.0,3.2,2.1,2.8,3.2,2.2,2005/6,€13.55m,€102.40m,3.2,3.2,2.0,3.0,0.1527525231651948,2.5830821810659654,0.0509175077217316,0.027777777777777818,0.1671129093034358,3.15,0.0763762615825974,2.5845344692462118,0.02424643224844362,0.01146384479717813,0.1667702777705941,2.1333333333333333,0.0942809041582063,2.5835626552176483,0.0441941738241592,0.02343750000000014,0.16698066706798356
P1,28/08/2005,Nacional,Academica,D,1.9,3.2,3.6,1.9,3.2,3.65,1.8,3.1,3.8,1.85,3.25,3.6,1.8,3.25,3.8,2005/6,€15.75m,€13.25m,1.9,3.2,3.5,1.8583333333333332,0.04487637339278747,2.584540657029334,0.024148721108226447,0.012705530642750512,0.1667654794137584,3.1999999999999997,0.04999999999999997,2.5847854514042674,0.015624999999999991,0.007812499999999917,0.16670868986638593,3.6583333333333337,0.10960788698304913,2.584315885263133,0.029961153617234382,0.016324981017463852,0.16681505990001405
P1,28/08/2005,Rio Ave,Guimaraes,H,2.1,3.2,3.1,2.3,3.1,2.8,2.1,2.9,3.2,2.0,3.2,3.2,1.95,3.2,3.3,2005/6,€10.38m,€24.55m,2.2,3.0,3.0,2.108333333333334,0.11696390706348499,2.582751222744896,0.05547695196687034,0.03096179183135686,0.1671686871763915,3.1,0.11547005383792526,2.583953153317987,0.037248404463846856,0.019713261648745345,0.16690999668384413,3.0999999999999996,0.16329931618554525,2.582934363545179,0.05267719876953073,0.028673835125447994,0.16716838625101327
P1,28/08/2005,Setubal,Pacos Ferreira,A,1.72,3.2,4.5,1.7,3.35,4.4,1.75,3.2,4.0,1.72,3.2,4.33,1.75,3.2,4.1,2005/6,€11.67m,€7.50m,1.75,3.4,4.0,1.7316666666666667,0.019507833184532725,2.584870825840782,0.011265351213397145,0.005935194096888058,0.16668799880762214,3.258333333333333,0.08374896350934065,2.5844891222032764,0.025703006703633964,0.012361466325660736,0.16677240593520987,4.221666666666667,0.1975193380124815,2.5833853077874314,0.04678705203611879,0.02585866561389652,0.16702864725879543
P1,28/08/2005,Sp Braga,Penafiel,H,1.53,3.5,5.5,1.55,3.6,5.25,1.55,3.5,4.8,1.53,3.4,5.5,1.5,3.5,6.0,2005/6,€40.35m,€9.55m,1.55,3.5,5.0,1.535,0.018027756377319962,2.5848626317690186,0.011744466695322451,0.005971769815418165,0.1666901780041128,3.5,0.05773502691896263,2.584766188967408,0.016495721976846466,0.007936507936507825,0.1667120922510229,5.341666666666666,0.38774633747106146,2.5811792878822457,0.07258901793530013,0.04030161206448249,0.16752549064315117
P1,09/09/2005,Guimaraes,Sp Braga,A,2.37,3.2,2.6,2.5,3.2,2.5,2.4,3.0,2.6,2.37,3.1,2.6,2.4,3.1,2.6,2005/6,€24.55m,€40.35m,2.4,3.1,2.6,2.4066666666666667,0.04384315479321966,2.5847251100025246,0.018217377337902903,0.008541089566020427,0.16671927180189686,3.1166666666666667,0.06871842709362774,2.5846111725387866,0.0220486931851212,0.011586452762923166,0.1667486409715368,2.583333333333333,0.03726779962499653,2.584811062676108,0.014426245016127692,0.005376344086021417,0.16670321477128197
P1,10/09/2005,Porto,Rio Ave,H,1.3,4.33,8.0,1.35,4.0,8.25,1.3,4.2,8.0,1.33,4.0,8.0,1.36,3.75,8.0,2005/6,€116.00m,€10.38m,1.3,4.5,8.0,1.3233333333333335,0.024944382578492966,2.5847067046811647,0.018849659379213828,0.010075566750629733,0.16672517849143106,4.13,0.24494897427831783,2.5824220129870077,0.059309679002014004,0.03322571966639756,0.16725905598044852,8.041666666666666,0.09316949906249125,2.5848663329218162,0.011585844443004095,0.004317789291882562,0.16668813934912008
P1,10/09/2005,Sp Lisbon,Benfica,H,2.2,3.1,2.87,2.35,3.05,2.8,2.0,3.1,3.2,2.2,3.0,3.0,2.05,3.1,3.2,2005/6,€102.40m,€121.05m,2.25,3.0,2.9,2.1750000000000003,0.11814539065631528,2.582826288567577,0.054319719841984034,0.03001277139208161,0.1671701906016533,3.0583333333333336,0.04487637339278758,2.5848069264227305,0.014673473588922367,0.007720254314259739,0.16670291006339635,2.9949999999999997,0.15639160250260678,2.5830047676994132,0.05221756343993549,0.02865887590428487,0.16710837929170583
P1,11/09/2005,Academica,Setubal,A,2.0,3.2,3.2,2.2,3.1,3.0,2.0,3.1,3.2,2.1,3.1,3.1,2.0,3.1,3.3,2005/6,€13.25m,€11.67m,2.1,3.1,3.1,2.0666666666666664,0.07453559924999306,2.5840308824838893,0.03606561254031923,0.018817204301074947,0.16687448611121122,3.1166666666666667,0.03726779962499653,2.5848600849680343,0.011957582767378567,0.004456327985739611,0.16668950960774107,3.15,0.09574271077563379,2.584295889559323,0.03039451135734406,0.016754850088183476,0.16682109033758463
P1,11/09/2005,Boavista,Pacos Ferreira,H,1.5,3.5,6.0,1.45,3.75,6.5,1.55,3.5,4.8,1.53,3.4,5.5,1.55,3.5,5.2,2005/6,€16.55m,€7.50m,1.6,3.4,4.8,1.53,0.04654746681256318,2.584292584834816,0.030423180923243906,0.01670297748729102,0.16682430996980901,3.508333333333333,0.11696390706348503,2.5841710032191747,0.03333888087320239,0.01623119556611266,0.16683834564567854,5.466666666666666,0.6209312003399053,2.5757794642528866,0.11358497567193392,0.06300813008130071,0.1686576020946756
P1,11/09/2005,Est Amadora,Naval,H,2.1,3.1,3.1,2.0,3.15,3.4,2.0,3.1,3.2,2.05,3.1,3.2,2.15,3.2,2.9,2005/6,€9.70m,€5.30m,2.0,3.2,3.25,2.0500000000000003,0.05773502691896256,2.5843936932062195,0.028163427765347585,0.01490514905149079,0.16679428911234603,3.141666666666667,0.044876373392787564,2.5848155437396096,0.014284256782850151,0.007515473032714187,0.16670035648808287,3.1750000000000003,0.15206906325745548,2.583294300319416,0.047895767955104085,0.025809273840769947,0.16706971443430277
P1,11/09/2005,Gil Vicente,Nacional,A,1.9,3.1,3.6,2.0,3.1,3.45,1.85,3.1,3.6,1.9,3.2,3.5,1.9,3.2,3.5,2005/6,€11.90m,€15.75m,1.9,3.2,3.5,1.9083333333333334,0.04487637339278753,2.5845667559258056,0.02351600352460482,0.010917030567685476,0.16675463065883442,3.15,0.050000000000000044,2.584780747681499,0.015873015873015886,0.007936507936508047,0.1667086587721508,3.525,0.05590169943749475,2.584781415096712,0.015858638138296383,0.008274231678487093,0.16670812733760548
P1,11/09/2005,Leiria,Maritimo,D,2.1,3.1,3.1,2.3,3.1,2.8,2.3,3.0,2.7,2.2,3.2,2.8,2.15,3.2,2.9,2005/6,€17.95m,€13.55m,2.25,3.1,2.8,2.216666666666667,0.07453559924999291,2.5841441019635214,0.03362508236841785,0.018796992481203173,0.1668590715780139,3.1166666666666667,0.06871842709362773,2.584611172538787,0.022048693185121197,0.011586452762923166,0.16674864097153672,2.85,0.1258305739211792,2.583575845342359,0.0441510785688348,0.022417153996101474,0.16696617955396395
P1,12/09/2005,Penafiel,Belenenses,A,2.2,3.1,2.87,2.2,3.1,3.0,2.2,3.0,2.9,2.25,3.1,2.8,2.3,3.1,2.7,2005/6,€9.55m,€21.85m,2.3,3.1,2.75,2.2416666666666667,0.044876373392787376,2.5846740244443427,0.02001920002652225,0.010532837670384293,0.1667325964105148,3.0833333333333335,0.03726779962499653,2.584856347120522,0.012086853932431307,0.004504504504504597,0.1666921034156467,2.8366666666666664,0.09944289260117528,2.584078109893578,0.035056248860578836,0.019780650215432877,0.16686878040001532
P1,16/09/2005,Naval,Boavista,D,2.75,3.25,2.25,3.2,3.1,2.1,3.0,2.9,2.2,2.8,3.2,2.2,3.0,3.1,2.15,2005/6,€5.30m,€16.55m,2.75,3.2,2.25,2.9166666666666665,0.16499158227686117,2.5826730672724416,0.05656854249492383,0.030476190476190462,0.16717476808813522,3.125,0.11456439237389607,2.5839810572439865,0.036660605559646745,0.019111111111111218,0.16690810063534267,2.1916666666666664,0.053359368645273735,2.584533143974238,0.024346479990238968,0.0133079847908745,0.1667679841097343
P1,18/09/2005,Benfica,Leiria,H,1.28,4.5,8.5,1.35,4.0,8.25,1.3,4.2,8.0,1.28,4.5,8.0,1.33,4.33,7.0,2005/6,€121.05m,€17.95m,1.3,4.35,8.5,1.3066666666666666,0.02560381915956205,2.584686501116588,0.019594759560889324,0.010629251700680215,0.16672933856035282,4.3133333333333335,0.17432409153323838,2.583773965604615,0.04041516805252822,0.022024729520865677,0.1669538851798444,8.041666666666666,0.5086064839889043,2.5819989182967595,0.06324640215406065,0.03195164075993087,0.16745251489246896
P1,18/09/2005,Maritimo,Penafiel,D,1.66,3.4,4.5,1.8,3.25,4.0,1.7,3.2,4.2,1.66,3.25,4.5,1.6,3.4,4.75,2005/6,€13.55m,€9.55m,1.75,3.2,4.5,1.6950000000000003,0.06525590650150631,2.583895952606207,0.03849905988289457,0.0214683710258933,0.16691041026290893,3.283333333333333,0.08498365855987963,2.584481357264129,0.025883347784734913,0.013536379018612404,0.1667753828850312,4.408333333333333,0.2422406975624772,2.582765632520723,0.05495063082702697,0.029300567107750336,0.16719786820150312
P1,18/09/2005,Pacos Ferreira,Academica,H,2.1,3.2,3.1,2.1,3.1,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.1,3.1,2005/6,€7.50m,€13.25m,2.1,3.1,3.1,2.1,0.0,2.584962500721156,0.0,-8.326672684688674e-17,0.16666666666666669,3.1166666666666667,0.06871842709362774,2.584611172538787,0.0220486931851212,0.011586452762923166,0.1667486409715368,3.1,0.05773502691896263,2.584712250053042,0.018624202231923428,0.008960573476702566,0.16672459726986022
P1,18/09/2005,Sp Braga,Porto,D,2.87,3.2,2.2,3.0,3.1,2.2,3.2,2.9,2.1,2.8,3.2,2.2,3.1,3.1,2.1,2005/6,€40.35m,€116.00m,2.9,3.1,2.2,2.9783333333333335,0.13789085861248712,2.583423341563831,0.0462979939381602,0.02602126468942348,0.16701449615305394,3.1,0.10000000000000009,2.5842034039861015,0.03225806451612906,0.01612903225806464,0.16685244385840303,2.1666666666666665,0.04714045207910321,2.584619242283915,0.021757131728816867,0.010256410256410137,0.166748046875
P1,19/09/2005,Belenenses,Guimaraes,H,1.72,3.25,4.33,1.8,3.25,4.0,1.8,3.1,3.8,1.75,3.25,4.0,1.65,3.4,4.5,2005/6,€21.85m,€24.55m,1.84,3.2,3.75,1.76,0.06244997998398404,2.5840483217039543,0.035482943172718204,0.019570707070706878,0.16688516076013504,3.2416666666666667,0.08858454843945535,2.5844248848587936,0.027326852989035068,0.014138817480719684,0.16678989958607382,4.0633333333333335,0.2699794230842212,2.5818054969497464,0.06644284407322916,0.036505332239540694,0.16736568565544555
