Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
N1,12/08/2005,AZ Alkmaar,Sparta Rotterdam,H,1.36,4.0,7.0,1.4,4.0,6.75,1.45,3.8,5.4,1.4,3.75,7.0,1.36,3.75,8.0,2005/6,€49.50m,€11.38m,1.35,4.0,7.0,1.3866666666666667,0.03448026810929527,2.584518971483988,0.024865577963434086,0.01322115384615366,0.16676636737458672,3.8833333333333333,0.11785113019775793,2.5842976524459935,0.030347930523027793,0.01573676680972827,0.1668207230687907,6.858333333333333,0.7639898923124281,2.57575066400075,0.11139585307107093,0.05569056298096378,0.16919769490974992
N1,13/08/2005,Heracles,PSV Eindhoven,D,8.0,4.5,1.28,8.25,4.5,1.3,7.0,4.0,1.35,8.0,4.5,1.29,8.0,4.33,1.3,2005/6,€9.75m,€96.65m,8.0,4.6,1.28,7.875,0.4018187817080398,2.5830310815943958,0.05102460720102093,0.0220458553791886,0.16718094198653388,4.405,0.19780040444852476,2.5834797563824043,0.04490361054450051,0.022133938706015682,0.16704443989880333,1.3,0.02380476142847619,2.5847225535715848,0.018311354944981685,0.008974358974359081,0.1667199504405168
N1,13/08/2005,Roda,Twente,H,2.1,3.2,3.0,2.1,3.3,3.0,1.9,3.1,3.5,2.1,3.2,3.0,1.9,3.3,3.3,2005/6,€25.85m,€22.75m,1.9,3.4,3.25,2.0,0.10000000000000009,2.5831583797639666,0.050000000000000044,0.024999999999999828,0.16708333333333333,3.25,0.0957427107756337,2.5843362927128792,0.02945929562327191,0.01623931623931632,0.16681170771475332,3.1750000000000003,0.19094065395649332,2.5823767462329847,0.06013878864771442,0.03193350831146127,0.16723827025077065
N1,13/08/2005,Vitesse,Heerenveen,D,2.0,3.2,3.2,2.15,3.3,2.9,2.2,3.0,2.9,2.0,3.2,3.2,2.2,3.2,2.8,2005/6,€25.75m,€41.08m,2.2,3.4,2.7,2.125,0.0901387818865998,2.583653022336103,0.042418250299576375,0.021568627450980454,0.16698254539604657,3.2166666666666663,0.12133516482134192,2.5839313356639555,0.03772077662839646,0.01986183074265982,0.16691124013862385,2.9499999999999997,0.1892969448600092,2.5820078207416093,0.06416845588474888,0.03483992467043287,0.16733195777072407
N1,13/08/2005,Willem II,Waalwijk,A,1.83,3.4,3.5,1.85,3.35,3.65,1.85,3.1,3.6,1.83,3.3,3.6,1.9,3.3,3.3,2005/6,€18.58m,€16.67m,1.8,3.4,3.6,1.8433333333333335,0.030368111930480956,2.584767312074475,0.016474563434257298,0.008740204942736446,0.16671110869345843,3.3083333333333336,0.10172129679778082,2.5842719800900134,0.03074699147539974,0.015533165407220745,0.16683666149771761,3.5416666666666665,0.11696390706348507,2.5841641694401547,0.03302510317086638,0.01607843137254919,0.16686525465222501
N1,14/08/2005,Feyenoord,NAC Breda,H,1.44,3.75,6.0,1.33,4.4,7.5,1.4,3.9,6.0,1.36,4.0,7.0,1.36,3.75,8.0,2005/6,€76.88m,€18.35m,1.4,4.0,6.0,1.3816666666666666,0.03578485092263974,2.584479314784009,0.025899771475975688,0.01427422597507047,0.16677757409514446,3.966666666666667,0.21921577396609856,2.5827953803926125,0.05526448083178955,0.02871148459383735,0.1671294046304506,6.75,0.8036375634160796,2.5748502761081324,0.11905741680238216,0.06378600823045258,0.16886688572879457
N1,14/08/2005,Groningen,Roosendaal,H,1.66,3.4,4.33,1.6,3.6,4.75,1.65,3.3,4.4,1.67,3.4,4.33,1.66,3.4,4.33,2005/6,€13.48m,€10.85m,1.65,3.6,4.0,1.6483333333333334,0.022669117514559012,2.58482515976473,0.013752750767174323,0.006572295247724874,0.16669947276290645,3.4499999999999997,0.11180339887498959,2.5842076538751217,0.032406782282605684,0.016908212560386465,0.16683799461845797,4.3566666666666665,0.21830152440043923,2.583156675673225,0.050107465432388504,0.025248661055853022,0.16708073552011915
N1,14/08/2005,Nijmegen,Utrecht,D,2.0,3.4,3.0,1.95,3.35,3.3,2.2,3.0,2.9,2.1,3.2,3.0,2.2,3.2,2.8,2005/6,€17.88m,€18.45m,2.1,3.4,2.8,2.091666666666667,0.09316949906249132,2.5835257998287795,0.04454318680278469,0.024568393094289626,0.16700518026557587,3.258333333333333,0.1426436897385307,2.583566081432089,0.043778114497758785,0.023444160272804743,0.16700635431203498,2.966666666666667,0.16996731711975951,2.582633621026704,0.05729235408531219,0.02996254681647939,0.1671637036894636
N1,19/08/2005,NAC Breda,Willem II,H,1.9,3.5,3.75,2.0,3.2,3.35,2.0,3.1,3.2,1.91,3.2,3.5,1.9,3.4,3.25,2005/6,€18.35m,€18.58m,2.0,3.25,3.2,1.9516666666666669,0.048448139512495485,2.5845178872429546,0.02482398267079188,0.012667235980643149,0.166769445712857,3.275,0.13462912017836254,2.5837509895817456,0.041108128298736654,0.02247667514843102,0.1669383277831439,3.375,0.19737865470545013,2.5825358839920884,0.05848256435717041,0.03086419753086425,0.16718350951569128
N1,20/08/2005,Den Haag,Heracles,A,1.72,3.4,4.0,1.7,3.3,4.5,1.75,3.2,4.0,1.8,3.25,3.75,1.8,3.4,3.6,2005/6,€17.50m,€9.75m,1.8,3.4,3.75,1.7616666666666667,0.04099457958749618,2.584570812242804,0.023270338460262732,0.012456638284453009,0.16675839789531854,3.3249999999999997,0.08036375634160788,2.584539825095587,0.02416955077943094,0.012949039264828738,0.16676581366457857,3.9333333333333336,0.291070819942883,2.5810907664595595,0.07400105591768211,0.038841807909604814,0.16748057130854865
